bat_first,city,ground_avg_runs_last15,ground_id,lighting,match id,match_dt,season,series_name,team1,team1_id,team1_roster_ids,team1_winp_team2_last15,team1only_avg_runs_last15,team2,team2_id,team2_roster_ids,team_boundary_ratios,team_count_50runs_last15,team_econ_ratios,team_haul3w_ratios,team_strike_ratios,team_winp_last5,toss decision,toss winner,venue,winner,winner_id,run_rate_season_ratio,nrr_season_ratio,run_rate_overall_ratio,nrr_overall_ratio,run_rate_series_ratio,nrr_series_ratio,run_rate_last10_ratio,nrr_last10_ratio,avgruns_overall_ratio,avgruns_season_ratio,avgruns_series_ratio,avgruns_rolling_ratio,avgwks_overall_ratio,avgwks_season_ratio,avgwks_series_ratio,avgwks_rolling_ratio,rwratio_overall_ratio,rwratio_season_ratio,rwratio_series_ratio,rwratio_rolling_ratio,win_percent_overall_ratio,win_percent_season_ratio,win_percent_series_ratio,win_percent_rolling_ratio,victory_by_runs_overall_ratio,victory_by_wks_overall_ratio,victory_by_runs_season_ratio,victory_by_wks_season_ratio,victory_by_runs_series_ratio,victory_by_wks_series_ratio,victory_by_runs_rolling_ratio,victory_by_wks_rolling_ratio
Ba,Indore,157.17857142857142,7398,day/night match,9331181,2022-10-20,2022/23,Sd Mq Ai Ty,Ba,11283,9373356.0:7857520.0:4232164.0:4566540.0:3299407.0:232000.0:7883504.0:8725723.0:7878989.0:2526390.0:8725730.0:4017523.0,100.0,139.0,Hl Ph,12634,3500958.0:4231751.0:2735081.0:2035102.0:3698337.0:5058192.0:6844718.0:4566526.0:6596582.0:4161975.0:7952804.0:8465057.0,1.5862068965517242,1.6666666666666667,1.8752755488933959,1.4285714285714286,1.2538881964497228,0.6721311475409836,field,Hl Ph,Hr Ct Sm Ie,Hl Ph,12634,1.100979602791197,-2.4877440581198873,0.9582918416247459,-8.658132643863409,0.9807380117388466,-4.146107042528116,0.9245782926028024,-2.698370122963932,0.9656187194946885,0.8471337579617835,0.9531438415159346,0.9534545454545454,0.875,0.7222222222222222,0.875,0.8666666666666667,1.1265551727438035,1.9363057324840764,1.6680017226528856,1.1001398601398604,0.8730158730158731,0.5,0.942857142857143,0.5,0.6224279835390946,-0.1666666666666666,0.0,inf,0.12222222222222222,-0.9333333333333332,0.10526315789473685,1.0
Ed,Bridgetown,103.5,1406,day/night match,8797060,2022-01-23,2021/22,Ed tr of Wt Is,Ed,20,2089079.0:6139370.0:2076192.0:62432.0:2083409.0:172199.0:2022957.0:1482998.0:1711492.0:4507208.0:3231437.0,50.0,156.0,Wt Is,41,4690258.0:4069666.0:4230127.0:1942317.0:1613926.0:2740408.0:4739552.0:5744850.0:4690104.0:3715697.0:3468870.0,0.9429657794676806,1.2857142857142858,0.8446897367351213,0.6923076923076923,0.9625479406017396,1.9523809523809523,field,Wt Is,Kn Ol Bn Bs,Ed,20,1.0286881462333826,9.791713300438236,1.0217856087619586,3.021028729890468,1.0,1.0,1.0588488434642283,6.927630960315577,0.9990703340385971,0.9252712831412909,0.9903846153846154,1.033637000700771,1.1666666666666667,2.25,0.1,1.6666666666666667,1.271544061503669,1.8505425662825818,0.09903846153846155,1.4095050009555967,1.4055555555555557,2.571428571428571,0.0,3.0,-1.295045045045045,42.16666666666668,-0.23113964686998392,-0.5142857142857142,,-1.0,-0.3125,-0.55
We,Nottingham,154.33333333333334,251,day/night match,9433269,2023-06-02,2023,Vy Bt,We,10576,3298427.0:2288789.0:7773338.0:3519011.0:3681957.0:7671313.0:5320118.0:2922611.0:7184232.0:7661996.0:6240632.0,0.0,173.26666666666668,Ne,8987,4003390.0:1749075.0:1626526.0:4172447.0:5516720.0:7328110.0:125915.0:130437.0:7507303.0:4420828.0:5652828.0,0.9431438127090301,0.8571428571428571,0.9211585790903788,1.25,1.1282111409134261,0.6721311475409836,field,Ne,Tt Be Nm,We,10576,1.067862265727211,-2.1467122288109453,0.9605478509457709,1.0996560441368115,0.9605478509457709,1.0996560441368115,0.9244915656680363,2.464045264141986,0.9952826835714608,1.1290963257199602,0.9952826835714608,0.9914110429447852,1.0,1.4166666666666667,1.0,1.1666666666666667,0.8530994430612521,0.9173907646474677,0.8530994430612521,0.8164561530133527,0.8757763975155277,3.0000000000000004,0.8757763975155277,0.75,1.4551873981531773,-0.3643410852713178,-3.272727272727273,,1.4551873981531773,-0.3643410852713178,1.0380952380952382,-5.0
Ga An Ws,Tarouba,144.25,14300,day match,9587073,2023-09-10,2023,Cn Pr Le,Ga An Ws,36084,8127230.0:4690328.0:4069666.0:7960847.0:4690188.0:4739580.0:4739552.0:5744850.0:2294823.0:9266102.0:284339.0,50.0,164.26666666666668,Bs Rs,36070,3462080.0:2436405.0:1798705.0:7550857.0:5742470.0:2740408.0:3575774.0:3200756.0:334963.0:6399210.0:6347494.0,1.4444444444444444,2.1666666666666665,0.7812063188128291,0.8,1.1934701038512694,1.975609756097561,bat,Ga An Ws,Bn La Sm Ta Td,Ga An Ws,36084,0.9403016947135161,0.9176553725392457,1.0000718556563575,0.37971125343443285,1.0000718556563575,0.37971125343443285,0.9918006482462052,0.7225842727075658,1.014145932345541,1.2931633835457705,1.014145932345541,1.1211247296323,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0921571579105827,1.831981460023175,1.0921571579105827,1.2145517904349916,1.1,3.0000000000000004,1.1,1.2,-0.8521739130434783,0.12,-1.0219435736677118,0.8571428571428572,-0.8521739130434783,0.12,-0.42519685039370086,0.7647058823529412
Pb Ks,Chandigarh,189.0,7118,night match,9516457,2023-04-13,2023,In Pr Le,Pb Ks,30407,8127181.0:197658.0:4239038.0:2398346.0:5053082.0:4640824.0:5038046.0:8180500.0:2035102.0:3851518.0:7881845.0:7453697.0,0.0,164.66666666666666,Gt Ts,48341,1958683.0:7491224.0:8059029.0:4377610.0:2252452.0:2966879.0:5554254.0:4690230.0:3373285.0:3759846.0:6496482.0,0.9904458598726115,0.8181818181818182,1.2569650178053087,1.2307692307692308,0.9235771704262897,1.3278688524590163,field,Gt Ts,Pb Ct An IS Ba Sm Mi Ch,Gt Ts,48341,0.9949883223043986,-1.5046419424580004,1.0087268925113528,5.560877479186676,1.022524540099695,4.89809906977101,1.0239579494351359,0.07255581228507378,0.9617720350715275,1.0572207084468666,0.9787967843003912,1.0481120584652863,0.8571428571428571,0.9333333333333333,0.8571428571428571,1.0769230769230769,0.6411813567143516,0.8457765667574931,0.6525311895335942,0.6449920359786376,0.6933333333333334,2.0,0.6842105263157895,0.8571428571428571,0.6679310344827586,-1.56,inf,0.0,0.896551724137931,-2.2969924812030076,1.7538461538461538,-0.7727272727272726
Ka Ts,Dhaka,147.93333333333334,14188,night match,9457412,2023-01-09,2022/23,Bh Pr Le,Ka Ts,42573,393371.0:1594347.0:9470873.0:7960847.0:4403426.0:2614779.0:305143.0:4403503.0:4731628.0:2436356.0:2436776.0,50.0,158.44444444444446,Cm Cs,40424,7864009.0:4502392.0:6551978.0:2820957.0:2804122.0:3125506.0:8072056.0:7084972.0:2875354.0:6149268.0:393182.0,1.314516129032258,1.0,1.7286582328917222,1.5,0.8963670660209024,1.0,field,Cm Cs,Se Ba Nl Sm Mr,Cm Cs,40424,inf,inf,1.007994450773869,0.25823528668351203,1.007994450773869,0.25823528668351203,1.007994450773869,0.25823528668351203,0.9773391812865496,,0.9773391812865496,0.9773391812865496,1.0909090909090908,,1.0909090909090908,1.0909090909090908,1.5637426900584794,,1.5637426900584794,1.5637426900584794,1.1111111111111112,,1.1111111111111112,1.1111111111111112,8.88888888888889,-0.5982905982905983,,-inf,8.88888888888889,-0.5982905982905983,8.88888888888889,-0.5982905982905983
Aa,Hyderabad,0.0,13880,night match,9292548,2022-09-25,2022,Aa tr of Ia,Aa,27,7537004.0:37351.0:1870357.0:2275195.0:4635658.0:6249256.0:1611364.0:5788320.0:3429236.0:2656541.0:2018001.0,50.0,141.4,Ia,55,2954769.0:238727.0:1776627.0:3125562.0:4377610.0:210328.0:3882850.0:2733380.0:2282125.0:4377694.0:3011735.0,0.8524173027989822,0.7,1.0546858638743453,0.7692307692307693,0.8006577147841489,1.4878048780487805,field,Ia,Rv Gi Il Sm Ul Hd,Ia,55,1.156040849740815,-1.101801568035588,0.96460300937013,-1.9969871871433214,1.0,1.0,1.0915435237953728,-0.9191082648790431,0.8891436898759076,0.9172563176895308,1.0033333333333334,0.92316715542522,1.0,1.0909090909090908,0.9090909090909091,1.0909090909090908,0.7409530748965896,1.1007075812274367,0.9121212121212121,1.1078005865102638,0.7023411371237459,0.96,1.0,1.6,-0.2250850551821426,8.97435897435898,0.0,-12.8,,-1.0,0.0,-18.0
Ja Ks,Colombo,129.93333333333334,7041,day match,9271758,2022-12-18,2022/23,La Pr Le,Ja Ks,47501,6818622.0:5490596.0:6551978.0:4403545.0:298612.0:1634611.0:3162487.0:8067002.0:7968225.0:8072056.0:4403573.0,40.0,156.15384615384616,Ge Gs,47494,6517118.0:4403531.0:4932864.0:2214792.0:7520344.0:3364234.0:1594319.0:305143.0:2270519.0:3008179.0:6686658.0,1.3419689119170986,0.9090909090909091,0.9275713593201972,0.875,1.8765281908897415,1.4878048780487805,bat,Ja Ks,R Pa Sm Co,Ja Ks,47501,0.8805668016194332,1.0568086883876364,1.1159300947436541,0.0010189929588052809,1.1159300947436541,0.0010189929588052809,1.0524309912583227,0.07909053900302895,1.0014414287723243,0.9638009049773755,1.0014414287723243,0.9874421678783872,1.2857142857142858,1.2142857142857142,1.2857142857142858,1.2857142857142858,1.1683483335677118,0.7937183923343093,1.1683483335677118,1.3465120471068917,1.4835164835164838,1.5000000000000002,1.4835164835164838,1.4,3.3894230769230775,-1.826923076923077,-2.0571428571428574,1.2857142857142856,3.3894230769230775,-1.826923076923077,5.171428571428572,-1.5714285714285716
Hl Ph,Indore,157.69230769230768,7398,day/night match,9331048,2022-10-18,2022/23,Sd Mq Ai Ty,Hl Ph,12634,3500958.0:4231751.0:2735081.0:3698337.0:5058192.0:2035102.0:6844718.0:8228296.0:4566526.0:6596582.0:8465057.0:4161975.0,0.0,138.5,Sa,14860,9098571.0:227793.0:5977026.0:8442244.0:1663885.0:4192558.0:6698110.0:9009265.0:3691547.0:2733401.0:4141556.0:6785582.0,0.36075949367088606,0.2727272727272727,0.9591067943539237,2.0,1.090537755976586,0.5061728395061729,field,Sa,Hr Ct Sm Ie,Hl Ph,12634,0.0,0.0,0.8456516477340325,-0.36419344237541984,0.8456516477340325,-0.36419344237541984,0.836485839731985,0.38386041639782803,0.795906690140845,,0.795906690140845,0.8389626055488539,1.1666666666666667,,1.1666666666666667,1.2727272727272727,0.7346830985915492,,0.7346830985915492,0.7744270205066344,0.8666666666666667,0.0,0.8666666666666667,1.0,0.57981220657277,-inf,,0.0,0.57981220657277,-inf,2.1590909090909087,3.666666666666667
Id,Dublin,148.5,6831,day match,9123162,2022-06-26,2022,Ia tr of Id,Id,216,2124002.0:2123974.0:7695666.0:6729862.0:6496412.0:2436251.0:3685100.0:2921680.0:2550414.0:6496482.0:8609684.0,0.0,154.26666666666668,Ia,55,3479860.0:5043310.0:3125562.0:4377610.0:210328.0:7422673.0:3882850.0:2282125.0:4859490.0:3011735.0:8725709.0,0.5223880597014925,0.34782608695652173,0.6994668319900806,0.6470588235294118,0.6284662898087825,0.5061728395061729,field,Ia,Te Ve Me Dn,Ia,55,0.0,-0.0,0.8560989542719775,-5.337790737855863,,,0.8701340921049544,-3.5585905292611897,0.8921355397951144,,,0.8343912290825157,1.1666666666666667,,,1.0833333333333333,0.5575847123719464,,,0.47679498804715176,0.6518518518518519,0.0,,0.5555555555555556,-0.2041969330104923,-6.518518518518522,0.0,-0.0,,,-0.15471698113207547,0.3333333333333333
